name,average_weight,density,unit_type,category_id
해선장,,2.2,liquid,
굴소스,,2.0,liquid,
머스타드,,2.0,liquid,
땅콩버터,,2.0,liquid,
다진 마늘,,1.6,vegetable,
다진 생강,,1.6,vegetable,
매실액,,1.6,liquid,
홀그레인 머스타드,,1.6,liquid,
홀스레디쉬,,1.6,liquid,
와사비,,1.6,liquid,
삼발,,1.6,liquid,
두반장,,1.6,liquid,
물엿,,1.4,liquid,
조청,,1.4,liquid,
치킨스톡,,1.4,powder,
비프스톡,,1.4,powder,
쯔유,,1.4,liquid,
액젓,,1.2,liquid,
춘장,,1.2,liquid,
우스터셔,,1.2,liquid,
액상캬라멜,,1.2,liquid,
케찹,,1.2,liquid,
마요네즈,,1.2,liquid,
토마토 페이스트,,1.2,liquid,
휘핑크림,,1.2,liquid,
그릭 요거트,,1.2,liquid,
토마토 소스,,1.133333333,liquid,
물,,1.0,liquid,
우유,,1.0,liquid,
간장,,1.0,liquid,
식초,,1.0,liquid,
레몬즙,,1.0,liquid,
라임즙,,1.0,liquid,
맛술,,1.0,liquid,
와인,,1.0,liquid,
핫소스,,1.0,liquid,
스리라챠,,1.0,liquid,
브로스,,1.0,liquid,
생크림,,1.0,liquid,
사워크림,,1.0,liquid,
버터,,0.9333333333,liquid,
참기름,,0.9333333333,liquid,
들기름,,0.9333333333,liquid,
식용유,,0.8666666667,liquid,
올리브유,,0.8666666667,liquid,
바닐라 익스트랙,,0.8666666667,liquid,
소금,,1.0,powder,
설탕,,1.0,powder,
미원,,1.0,powder,
카레가루,,1.0,powder,
치킨파우더,,1.0,powder,
베이킹 소다,,1.0,powder,
전분,,1.0,powder,
베이킹 파우더,,0.8,powder,
찹쌀가루,,0.8,powder,
후추,,0.8,powder,
고춧가루,,0.8,powder,
다시다,,0.8,powder,
카이엔,,0.8,powder,
레드페퍼 플레이크,,0.8,powder,
건고추,,0.8,powder,
페페로치노 홀,,0.8,powder,
파프리카 파우더,,0.8,powder,
칠리 파우더,,0.8,powder,
갈릭 파우더,,0.8,powder,
강황,,0.8,powder,
어니언 파우더,,0.8,powder,
올스파이스,,0.8,powder,
양꼬치시즈닝,,0.8,powder,
오향분,,0.8,powder,
시나몬,,0.8,powder,
제스트,,0.6,powder,
파마산,,0.6,powder,
이스트,,0.6,powder,
콘밀,,0.6,powder,
튀김가루,,0.6,powder,
부침가루,,0.6,powder,
들깨가루,,0.6,powder,
강력분,,0.55,powder,
중력분,,0.5,powder,
박력분,,0.42,powder,
아몬드 가루,,0.6,powder,
타임,,0.4,powder,
바질,,0.4,powder,
넛맥,,0.4,powder,
마조람,,0.4,powder,
로즈마리,,0.4,powder,
큐민 시드,,0.4,powder,
캐러웨이 시드,,0.4,powder,
가람 마살라,,0.4,powder,
코리앤더,,0.4,powder,
커피가루,,0.4,powder,
통깨,,0.4,powder,
오레가노,,0.2,powder,
타라곤,,0.2,powder,
세이지,,0.2,powder,
딜,,0.1333333333,powder,
파슬리 가루,,0.1333333333,powder,
양파(소),125.0,0.0,vegetable,
양파(중),160.0,0.0,vegetable,
양파(대),250.0,0.0,vegetable,
당근,200.0,0.0,vegetable,
감자(소),150.0,0.0,vegetable,
감자(중),200.0,0.0,vegetable,
감자(대),300.0,0.0,vegetable,
토마토,135.0,0.0,vegetable,
피망,100.0,0.0,vegetable,
파프리카,180.0,0.0,vegetable,
다다기 오이,215.0,0.0,vegetable,
가시 오이,250.0,0.0,vegetable,
취청 오이,240.0,0.0,vegetable,
생강(톨),15.0,0.0,vegetable,
마늘쪽,4.0,0.0,vegetable,
통마늘/피마늘,70.0,0.0,vegetable,
생표고버섯,35.0,0.0,vegetable,
건표고버섯,5.0,0.0,vegetable,
대파(대),150.0,0.0,vegetable,
시금치(단),200.0,0.0,vegetable,
상추(잎),5.0,0.0,vegetable,
부추(단),500.0,0.0,vegetable,
쪽파(단),1000.0,0.0,vegetable,
청경채,90.0,0.0,vegetable,
배추(3~9월),3.0,0.0,vegetable,
배추(10~2월),3.75,0.0,vegetable,
양배추,3.5,0.0,vegetable,
쥬키니호박,450.0,0.0,vegetable,
애호박,400.0,0.0,vegetable,
방울토마토,15.0,0.0,vegetable,
