Name,국적,음식 타입,지도 링크,한줄평,추천 메뉴/대표 메뉴,별점,추천인,음식 대분류
할랄킹,동남아시아,"고기, 면, 밥",https://kko.kakao.com/x1tvZHwqM7,나시르막이 6900원밖에 안 하고 뚬얌에 새우가 많다.,나시르막,5,,
솔리드웍스 아이스크림 고려대점,디저트,아이스크림,https://kko.kakao.com/9PXlwweIdt,과즙함량 아주 높고 식감 잘 살린 안암에서 fine이란 단어 붙어도 되는곳,,5,민철 김,
시홍쓰,중국,"고기, 밥, 튀김",https://kko.kakao.com/eI7kw7AZxH,"잘 볶은 돼지고기, 적절한 매운맛과 라한맛의 기름, 고수가 자아내는 아름다운 삼박자가 있는 마파두부 (11500원) ",마파두부,5,민철 김,
논현손칼국수,한국,면,https://place.map.kakao.com/16037196,사리 무한리필 가능! 논현칼국수의 육수는 육고기와 바닷고기의 감칠맛 상승효과가 무엇인지 제대로 알 수 있는 맛집,,5,민철 김,
왕십리닭곰탕,한국,국물,https://place.map.kakao.com/16183533,노계를 썼음에도 딱 알맞은 쫄깃함을 가진 살코기와 극한의 감칠맛과 적절한 매운맛을 지닌 양념의 닭도리탕은 총주방장의 최애 닭도리탕집이다.,,5,민철 김,
박서방 순대곱창,한국,"곱창, 순대",https://place.map.kakao.com/7881618,다양한 내장과 부속이 들어온다. 진국이다.,,5,민철 김,
서두산 딤섬 2호점,중국,"만두, 면, 볶음밥",https://place.map.kakao.com/1396116679,식감이 좋고 재료가 실하게 들어있음. 비싸지도 않다.,군만두,5,민철 김,
흐릇,디저트,"디저트, 커피",https://place.map.kakao.com/560527159,케이크가 무척 맛있다. 케이크 덕후에게 인정받음.,치즈케이크,5,"민철 김, 정수 황",
차고버거,북미,"버거, 타코",https://place.map.kakao.com/1645311420,잘 구워진 패티와 양파로 버거의 기본을 완벽하게 잡고 와우포인트가 있는 버거들과 타코를 파는 집입니다. ,,5,민철 김,
알페도 카페,디저트,"디저트, 커피",https://place.map.kakao.com/582841952,튀르키예 등 다양한 나라의 특이한 디저트가 많고 엄청 달다.,"퀴네페, 트레스레체스",5,"지우 홍, 유현준",
알페도 케밥,중동,케밥,https://place.map.kakao.com/76119460,케밥과 피데가 맛있고 특이하다.,"케밥, 피데",5,"지우 홍, 유현준",
니커버커 베이글,"디저트/구움과자, 베이커리",샌드위치,https://place.map.kakao.com/211083550,베이글의 겉부분에 아주 맛있는 향신료가 올라가 있고 쫄깃쫄깃한 니커버커베이글입니다.,,5,민철 김,
써니사이드커피,카페,"디저트, 커피",https://place.map.kakao.com/18857241,제가 개인적으로 안암에서 원탑이라고 생각하는 써니사이드 카페,,5,민철 김,
쟈니덤플링,중국,만두,https://place.map.kakao.com/721715250,"군만두, 물만두 둘 다 맛있다.",,5,민철 김,
모로코코,아프리카,"고기, 볶음밥",https://place.map.kakao.com/276990260,,,4,지우 홍,
올디스타코,남미,타코,https://place.map.kakao.com/457395048,,,4,유현준,
갓잇,남미,"고기, 면, 타코",https://place.map.kakao.com/1807739168,,,4,유현준,
지로우라멘,일본,면,https://place.map.kakao.com/23734945,,돈코츠,4,태현 박,
멘야시노기,일본,면,https://place.map.kakao.com/212188356,,츠케멘,4,박태순,
샤오바오우육면,중국,면,https://place.map.kakao.com/2053098478,,,4,,
오늘은슈림프,양식,해물,https://place.map.kakao.com/1207324621,,,4,,
울란바토르,몽골,"고기, 만두, 면, 튀김",https://place.map.kakao.com/18824253,무난하게 맛있는 몽골 음식점! 만두가 다양하고 맛있다.,"튀김 만두, 양고기 덮밥",4,지우 홍,
춘향미엔 왕십리점,중국,"만두, 볶음밥",https://place.map.kakao.com/1658512250,치마 깔리게 튀기는 근본 만두집,,4,민철 김,
도코로,카페,"음료, 커피",https://place.map.kakao.com/1134104552,특이한 메뉴. 처음 먹어보는데 맛있다.,"아보카도 스무디, 샤케라또",4,민철 김,
스아게 성수점,일본,카레,https://place.map.kakao.com/136249701,스프카레가 얼큰해요,,4,민철 김,
서보,동남아시아,"고기, 면",https://place.map.kakao.com/290687035,,,4,민철 김,
롸카두들 내쉬빌 핫치킨 이태원점,북미,"버거, 치킨",https://place.map.kakao.com/83108266,맛있는 동선,,4,"민철 김, 정수 황",
김영자나주곰탕,한국,"국물, 국밥",https://place.map.kakao.com/27451554,서울역과 서울대의 맛집,,4,민철 김,
높은산,카페,음료,https://place.map.kakao.com/1440389368,짜이를 먹어보고 싶은 여러분을 위해 공유합니다,짜이,4,민철 김,
더빛남,동남아시아,면,https://place.map.kakao.com/1618885386,맛있긴 하나 30분 웨이팅을 감수할 정도는 아님,,4,민철 김,
중국관,중국,"면, 볶음밥",https://place.map.kakao.com/11992230,시간이 멈춰있기에 더욱 더 가치있는 중국집,,4,민철 김,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
